Currency,Date,"Buy Rate","Sell Rate"
AUD,2021-06-03,153.0758,157.8104
AUD,2021-06-02,153.3659,158.2461
AUD,2021-06-01,153.4897,158.2096
AUD,2021-05-31,152.7256,157.4401
AUD,2021-05-28,152.8576,157.8190
AUD,2021-05-25,153.2312,158.0417
AUD,2021-05-24,152.5874,157.3813
AUD,2021-05-21,153.1982,158.0674
AUD,2021-05-20,152.6478,157.5345
AUD,2021-05-19,153.4338,158.4877
AUD,2021-05-18,153.5844,158.5691
AUD,2021-05-17,152.9043,157.9288
AUD,2021-05-13,152.0735,157.1218
AUD,2021-05-12,153.4866,158.0907
AUD,2021-05-11,154.3485,158.7710
AUD,2021-05-10,154.5667,158.8549
AUD,2021-05-07,153.3009,157.5736
AUD,2021-05-06,151.8115,156.2541
AUD,2021-05-05,149.5909,155.6584
AUD,2021-05-04,150.8194,155.2077
AUD,2021-05-03,150.2884,154.8256
AUD,2021-04-30,151.2244,155.9336
AUD,2021-04-29,151.6225,156.3224
AUD,2021-04-28,150.1526,155.2907
AUD,2021-04-27,150.3608,155.9404
AUD,2021-04-23,148.1217,155.3648
AUD,2021-04-22,149.3610,156.9348
AUD,2021-04-21,150.1868,157.5807
AUD,2021-04-20,148.4116,153.3744
AUD,2021-04-19,144.0808,149.2929
AUD,2021-04-16,150.8369,156.9965
AUD,2021-04-15,154.0726,159.2603
AUD,2021-04-12,150.7680,156.0061
AUD,2021-04-09,151.6477,156.7334
AUD,2021-04-08,151.2976,155.9666
AUD,2021-04-07,151.1176,156.2247
AUD,2021-04-06,150.7668,155.7027
AUD,2021-04-05,149.5670,154.8049
AUD,2021-04-01,148.9250,154.1422
AUD,2021-03-31,149.4309,154.7747
AUD,2021-03-30,150.6590,155.2063
AUD,2021-03-29,150.3656,154.8952
AUD,2021-03-26,149.4605,154.2312
AUD,2021-03-25,149.3419,153.8136
AUD,2021-03-24,148.7841,153.7667
AUD,2021-03-23,150.9869,155.7783
AUD,2021-03-22,150.3410,155.3049
AUD,2021-03-19,150.7381,155.4572
AUD,2021-03-18,152.8602,159.3437
AUD,2021-03-17,151.9483,157.1707
AUD,2021-03-16,150.4858,156.2303
AUD,2021-03-15,150.4927,155.4465
AUD,2021-03-12,150.7869,155.8583
AUD,2021-03-10,148.5868,153.5978
AUD,2021-03-09,148.2515,152.9063
AUD,2021-03-08,148.4443,153.7662
AUD,2021-03-05,148.9737,153.7529
AUD,2021-03-04,150.4827,155.2954
AUD,2021-03-03,150.9860,155.8002
AUD,2021-03-02,148.9718,153.7590
AUD,2021-03-01,148.8905,153.6761
AUD,2021-02-25,152.4460,157.3191
AUD,2021-02-24,151.5901,156.4501
AUD,2021-02-23,150.9822,155.8253
AUD,2021-02-22,151.4733,156.3421
AUD,2021-02-19,150.3788,155.1558
AUD,2021-02-18,149.4383,154.7914
AUD,2021-02-17,150.0455,155.3194
AUD,2021-02-16,150.5973,155.3236
AUD,2021-02-15,149.3289,153.9689
AUD,2021-02-12,148.0234,152.6612
AUD,2021-02-11,149.5693,154.4522
AUD,2021-02-10,148.3396,153.6353
AUD,2021-02-09,147.8049,152.7674
AUD,2021-02-08,146.5957,151.4259
AUD,2021-02-05,144.6507,149.4440
AUD,2021-02-03,146.4295,151.4887
AUD,2021-02-02,145.0504,150.4642
AUD,2021-02-01,143.5007,148.3779
AUD,2021-01-29,144.4602,149.5783
AUD,2021-01-27,148.3419,154.3704
AUD,2021-01-26,148.3272,154.4088
AUD,2021-01-25,150.1541,155.2795
AUD,2021-01-22,150.4592,155.6726
AUD,2021-01-21,149.1749,154.4735
AUD,2021-01-20,148.8637,154.3157
AUD,2021-01-19,147.1873,152.1251
AUD,2021-01-18,146.5593,151.5878
