Label,Year,Month,Close (Rs.),Loan Rate
NDB.N0000,2019,6,89.9,8.5
NEST.N0000,2019,6,1500.5,8.5
NHL.N0000,2019,6,3.9,8.5
NIFL.N0000,2019,6,40.0,8.5
NTB.N0000,2019,6,80.3,8.5
ONAL.N0000,2019,6,20.1,8.5
ONAL.R0000,2019,6,0.5,8.5
OSEA.N0000,2019,6,15.0,8.5
PALM.N0000,2019,6,18.0,8.5
PAP.N0000,2019,6,3.1,8.5
PARA.N0000,2019,6,54.55,8.5
PARQ.N0000,2019,6,28.1,8.5
PDL.N0000,2019,6,178.9,8.5
PINS.N0000,2019,6,18.5,8.5
PLC.N0000,2019,6,14.0,8.5
RAL.N0000,2019,6,2.1,8.5
RCL.N0000,2019,6,62.400000000000006,8.5
RICH.N0000,2019,6,9.8,8.5
RIL.N0000,2019,6,6.0,8.5
RWSL.N0000,2019,6,2.0,8.5
SAMP.N0000,2019,6,138.0,8.5
SAMP.R0000,2019,6,0.3,8.5
SDB.N0000,2019,6,60.0,8.5
SELI.N0000,2019,6,711.4,8.5
SEMB.N0000,2019,6,0.4,8.5
SEYB.N0000,2019,6,50.0,8.5
SEYB.X0000,2019,6,31.5,8.5
SFL.N0000,2019,6,8.8,8.5
SFL.P0000,2019,6,6.3,8.5
SHAL.N0000,2019,6,1497.6,8.5
SHL.N0000,2019,6,15.1,8.5
SHOT.N0000,2019,6,17.5,8.5
SINH.N0000,2019,6,1.1,8.5
SIRA.N0000,2019,6,1.7,8.5
SPEN.N0000,2019,6,40.1,8.5
SUN.N0000,2019,6,42.0,8.5
TAFL.N0000,2019,6,83.9,8.5
TAP.N0000,2019,6,3.8,8.5
TFIL.N0000,2019,6,67.0,8.5
TILE.N0000,2019,6,79.0,8.5
TJL.N0000,2019,6,32.5,8.5
TKYO.N0000,2019,6,23.4,8.5
TKYO.X0000,2019,6,18.1,8.5
TYRE.N0000,2019,6,34.0,8.5
UBC.N0000,2019,6,11.1,8.5
UDPL.N0000,2019,6,20.2,8.5
VFIN.N0000,2019,6,67.65,8.5
VLL.N0000,2019,6,4.4,8.5
VONE.N0000,2019,6,15.0,8.5
VPEL.N0000,2019,6,6.1,8.5
WATA.N0000,2019,6,19.3,8.5
AAIC.N0000,2019,7,36.7,8.5
ACL.N0000,2019,7,34.4,8.5
